Sl No.,Name,Genre,Ratings,Description,Cast,Votes,Certificate
19,Doctor Who,"Adventure, Drama, Sci-Fi","8.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.6/10
X",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,"Jodie Whittaker, Peter Capaldi, Pearl Mackie, Matt Smith","2,34,589",U
20,Asteroid City,"Comedy, Drama, Romance","6.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.6/10
X
 



75        
        Metascore","Following a writer on his world famous fictional play about a grieving father who travels with his tech-obsessed family to small rural Asteroid City to compete in a junior stargazing event, only to have his world view disrupted forever.","Wes Anderson, Jason Schwartzman, Scarlett Johansson, Tom Hanks, Jeffrey Wright","72,132",PG-13
21,The Mandalorian,"Action, Adventure, Fantasy","8.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.7/10
X","The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.","Pedro Pascal, Chris Bartlett, Katee Sackhoff, Carl Weathers","5,59,429",U
22,Futurama,"Animation, Adventure, Comedy","8.5




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.5/10
X","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.","Billy West, John DiMaggio, Katey Sagal, Tress MacNeille","2,53,038",U
23,Adventure Time: Fionna & Cake,"Animation, Action, Adventure","9.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

9/10
X","Fionna and her magical best friend and talking cat, ""Cake"" explore their relationship and the mysterious land of Ooo.","Madeleine Martin, Roz Ryan, Tom Kenny, Dee Bradley Baker","1,336",
24,Elemental,"Animation, Adventure, Comedy","7.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7/10
X
 



58        
        Metascore","Follows Ember and Wade, in a city where fire-, water-, land- and air-residents live together.","Peter Sohn, Leah Lewis, Mamoudou Athie, Ronnie Del Carmen, Shila Ommi","55,666",U
25,Star Wars Rebels,"Animation, Action, Adventure","8.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8/10
X",A brave and clever ragtag starship crew stands up against the evil Empire as it tightens its grip on the galaxy and hunts down the last of the Jedi Knights.,"Dave Filoni, Taylor Gray, Freddie Prinze Jr., Vanessa Marshall","53,045",UA 7+
26,Loki,"Action, Adventure, Fantasy","8.2




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.2/10
X",The mercurial villain Loki resumes his role as the God of Mischief in a new series that takes place after the events of “Avengers: Endgame.”,"Tom Hiddleston, Owen Wilson, Gugu Mbatha-Raw, Sophia Di Martino","3,55,648",12+
27,The Last of Us,"Action, Adventure, Drama","8.8




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.8/10
X","After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity's last hope.","Pedro Pascal, Bella Ramsey, Anna Torv, Gabriel Luna","4,55,905",UA 16+
28,Interstellar,"Adventure, Drama, Sci-Fi","8.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.7/10
X
 



74        
        Metascore","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.","Christopher Nolan, Matthew McConaughey, Anne Hathaway, Jessica Chastain, Mackenzie Foy","19,87,200",UA
29,From,"Drama, Horror, Mystery","7.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.7/10
X","Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.","Harold Perrineau, Catalina Sandino Moreno, Eion Bailey, David Alpay","54,997",
30,The Creator,"Action, Adventure, Drama",,"Against the backdrop of a war between humans and robots with artificial intelligence, a former soldier finds the secret weapon, a robot in the form of a young child.","Gareth Edwards, John David Washington, Madeleine Yuna Voyles, Gemma Chan, Allison Janney",,PG-13
31,Twisted Metal,"Action, Adventure, Comedy","7.4




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.4/10
X","Follows a motor-mouthed outsider offered a chance at a better life, but only if he can successfully deliver a mysterious package across a post-apocalyptic wasteland.","Anthony Mackie, Stephanie Beatriz, Joe Seanoa, Will Arnett","17,102",
32,Lost,"Adventure, Drama, Fantasy","8.3




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.3/10
X",The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly","5,77,516",A
33,Starfield,"Action, Adventure, Drama","8.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.6/10
X","Set 300 years in the future, the player will assume the role of a customisable character who is a member of Constellation, an organization of space explorers.","Todd Howard, Sumalee Montano, Damien C. Haas, Barry Wiggins, Jake Green",945,
34,Arrival,"Drama, Mystery, Sci-Fi","7.9




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.9/10
X
 



81        
        Metascore",A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"Denis Villeneuve, Amy Adams, Jeremy Renner, Forest Whitaker, Michael Stuhlbarg","7,36,074",UA
35,Severance,"Drama, Mystery, Sci-Fi","8.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.7/10
X","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.","Adam Scott, Zach Cherry, Britt Lower, Tramell Tillman","1,70,841",A
36,The X Files,"Crime, Drama, Mystery","8.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.6/10
X","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis","2,38,990",UA
37,Manifest,"Drama, Mystery, Sci-Fi","7.1




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.1/10
X","When a commercial airliner suddenly reappears after being missing for five years, those aboard must reintegrate into society.","Melissa Roxburgh, Josh Dallas, J.R. Ramirez, Luna Blaise","85,492",16
38,Moving,"Action, Adventure, Fantasy","8.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.6/10
X",The quiet lives of three high school students with genetic superhuman abilities turn upside down when a mysterious organization starts to hunt them down one by one.,"Tae-Hyun Cha, Lee Jeong-Ha, Go Yoon-Jung, Do-Hoon Kim","2,597",
39,Rebel Moon: A Child of Fire,"Action, Adventure, Drama",,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.","Zack Snyder, Sofia Boutella, Jena Malone, Charlie Hunnam, Anthony Hopkins",,
40,Rick and Morty,"Animation, Adventure, Comedy","9.1




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

9.1/10
X",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,"Chris Parnell, Spencer Grammer, Sarah Chalke, Justin Roiland","5,67,295",16+
41,Transformers: Rise of the Beasts,"Action, Adventure, Sci-Fi","6.1




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.1/10
X
 



42        
        Metascore","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","Steven Caple Jr., Anthony Ramos, Dominique Fishback, Luna Lauren Velez, Dean Scott Vazquez","79,862",UA
42,Star Wars: The Clone Wars,"Animation, Action, Adventure","8.4




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.4/10
X",Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.,"Tom Kane, Dee Bradley Baker, Matt Lanter, James Arnold Taylor","1,12,015",PG
43,Avatar: The Way of Water,"Action, Adventure, Fantasy","7.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.6/10
X
 



67        
        Metascore","Jake Sully lives with his newfound family formed on the extrasolar moon Pandora. Once a familiar threat returns to finish what was previously started, Jake must work with Neytiri and the army of the Na'vi race to protect their home.","James Cameron, Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang","4,58,153",UA
44,Star Trek: Lower Decks,"Animation, Action, Adventure","7.7




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.7/10
X","The support crew serving on one of Starfleet's least important ships, the U.S.S. Cerritos, have to keep up with their duties, often while the ship is being rocked by a multitude of sci-fi anomalies.","Tawny Newsome, Jack Quaid, Noël Wells, Eugene Cordero","22,081",16
45,No One Will Save You,"Horror, Sci-Fi, Thriller",,An exiled anxiety-ridden homebody must battle an alien who's found its way into her home.,"Brian Duffield, Kaitlyn Dever, Ginger Cressman, Zack Duhame, Dari Lynn Griffin",,PG-13
46,Andor,"Action, Adventure, Drama","8.4




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8.4/10
X","Prequel series to Star Wars' 'Rogue One'. In an era filled with danger, deception and intrigue, Cassian will embark on the path that is destined to turn him into a Rebel hero.","Diego Luna, Kyle Soller, Stellan Skarsgård, Genevieve O'Reilly","1,48,170",UA 13+
47,Dune: Part One,"Action, Adventure, Drama","8.0




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

8/10
X
 



74        
        Metascore",A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"Denis Villeneuve, Timothée Chalamet, Rebecca Ferguson, Zendaya, Oscar Isaac","7,15,018",UA
48,Fear the Walking Dead,"Drama, Horror, Sci-Fi","6.8




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

6.8/10
X","A Walking Dead spinoff set in Los Angeles, California. Follows two families who must band together to survive the undead apocalypse.","Kim Dickens, Frank Dillane, Cliff Curtis, Rubén Blades","1,38,008",16+
49,The Meg,"Action, Horror, Sci-Fi","5.6




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

5.6/10
X
 



46        
        Metascore",A group of scientists exploring the Marianas Trench encounter the largest marine predator that has ever existed - the Megalodon.,"Jon Turteltaub, Jason Statham, Bingbing Li, Rainn Wilson, Cliff Curtis","1,96,952",UA
50,The Flash,"Action, Adventure, Drama","7.5




Rate this






 
 

1
2
3
4
5
6
7
8
9
10

7.5/10
X","After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the Flash, and fighting crime in Central City.","Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes","3,63,126",12+
